date,global_index,lag_1,lag_7,rolling_mean_7,rolling_std_7,pct_change
2025-04-03,2221.6666666666665,2236.5,,,,-0.0032071815913234936
2025-04-18,2124.0,2174.5,,,,-0.0232826030679269
2025-05-03,2233.0,2091.0,,,,0.0679100908656145
2025-05-18,2392.0,2254.5,2208.0,2224.5714285714284,98.32019047834322,0.06059491081610946
2025-06-02,3535.0,3017.5,2228.5,2522.785714285714,570.9646846123568,0.2054181368698701
2025-06-17,3131.0,3411.0,2124.0,2843.285714285714,606.8298925741144,-0.08239227434274354
2025-07-02,2742.0,2897.5,2254.5,3018.0,452.15583586041714,-0.0535557347491642
2025-07-17,2539.3333333333335,2597.0,3192.6666666666665,2913.8095238095243,351.4619682121394,-0.022005384854268284
2025-08-01,2387.0,2461.5,3131.0,2598.9285714285716,176.0754257605693,-0.030270028803600635
2025-08-16,2234.5,2300.0,2742.0,2441.0714285714284,143.8155437066703,-0.028165484633569715
2025-08-31,2074.0,2161.5,2559.5,2303.785714285714,159.675507920776,-0.04017112836426506
2025-09-15,1837.0,1978.5,2461.5,2138.9285714285716,191.41841915119494,-0.07177318542509126
2025-09-30,1660.0,1715.0,2300.0,1951.5,222.7981625433801,-0.03151397243178122
2025-10-15,1716.5,1669.0,2161.5,1807.1428571428573,166.33681407049076,0.02838914605830678
2025-10-30,1880.0,1842.3333333333333,1906.0,1758.9047619047617,104.90247224441062,0.022557902824066594
2025-11-14,1829.0,1855.5,1660.0,1807.6428571428573,97.31779641995418,-0.014301739131445057
2025-11-29,1942.0,1866.5,1716.5,1868.0714285714284,68.02123353623233,0.041283566684539474
2025-12-14,2197.5,2069.5,1890.5,1952.7142857142858,143.1561092903303,0.06458952258151551
2025-12-29,2557.0,2213.0,1859.0,2070.5714285714284,264.76332647785466,0.15544509715318577
2026-01-13,2328.5,2501.0,1829.0,2184.285714285714,254.41408952637104,-0.06954892660030243
2026-01-28,2033.0,2159.5,1942.0,2239.142857142857,201.9073183169901,-0.05885520236943764
2026-02-12,1917.0,1937.0,2317.3333333333335,2144.3809523809523,230.51102653801027,-0.010312266823662522
2026-02-27,2040.5,1928.5,2328.5,1991.7857142857142,103.6645525956404,0.05766932329848362
2026-03-14,2225.5,2147.5,2033.0,2017.5714285714284,128.45919450967716,0.03617194907307408
2026-03-29,2298.0,2283.0,1926.0,2118.857142857143,165.117246382924,0.006564950260673608
2026-04-13,3611.5,2990.0,1928.5,2513.7142857142853,625.0388847741144,0.2787247536937822
